adb server is out of date.  killing...
* daemon started successfully *
--------- beginning of main
03-21 23:37:11.059 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.060 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.060 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.060 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.060 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.061 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.061 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.061 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.062 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.062 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.062 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.062 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.063 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.063 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.063 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.063 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.063 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.064 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.065 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.065 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.065 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.065 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.065 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.066 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.066 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.066 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.067 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.067 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.067 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.067 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.068 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.068 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.069 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.069 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.069 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.069 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.070 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.070 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.070 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.070 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.070 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.071 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.071 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.071 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.072 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.072 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.072 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.072 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.073 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.073 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.073 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.073 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.073 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.074 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.074 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.074 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.075 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.075 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.075 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.075 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.076 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.076 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.076 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.076 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.076 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.077 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.078 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.078 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.078 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.078 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.078 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.078 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.079 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.079 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.079 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.079 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.079 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.080 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.080 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.081 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.081 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.081 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.081 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.081 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.082 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.082 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.082 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.082 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.082 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.083 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.083 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.083 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.084 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.084 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.084 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.084 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.085 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.085 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.085 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.085 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.085 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.086 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.086 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.086 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.087 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.087 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.087 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.087 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.088 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.088 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.088 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.088 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.088 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.089 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.089 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.089 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.090 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.090 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.090 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.090 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.091 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.091 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.091 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.091 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.091 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.092 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.092 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.092 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.093 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.093 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.093 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.093 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.094 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.094 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.094 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.094 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.094 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.095 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.095 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.095 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.095 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.095 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.095 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.096 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.097 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.097 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.097 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.097 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.097 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.097 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.098 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.098 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.098 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.098 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.098 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.099 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.099 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.099 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.100 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.100 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.100 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.100 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.101 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.101 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.101 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.101 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.101 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.102 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.102 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.102 22280  9225 I ContactsProvider: querylocal match: 2004
03-21 23:37:11.103 22280  9225 I ContactsProvider: return querylocal
03-21 23:37:11.103 22280  9225 I ContactsProvider: query return 4 queryDirectoryIfNecessary 
03-21 23:37:11.103 22280  9225 I ContactsProvider: query return 5 finally 
03-21 23:37:11.103 22280  9225 I ContactsProvider: Contacts query: CPID=22280, CallingPackage = com.android.providers.contacts User=0
03-21 23:37:11.104 22280  9225 I ContactsProvider: Contacts query: access CPID=22280, CallingPackage = com.android.providers.contacts User=0
